Année;Lièvre;Lynx
1876;97.12;46.34
1877;86.51;45.77
1878;72.17;44.15
1879;38.32;36.33
1880;10.11;12.03
1881;7.74;12.60
1882;9.67;18.34
1883;43.12;35.14
1884;52.21;43.77
1885;134.85;65.69
1886;134.86;79.35
1887;103.79;51.65
1888;46.10;32.59
1889;15.03;22.45
1890;24.20;16.16
1891;41.65;14.12
1892;52.34;20.38
1893;53.78;33.33
1894;70.40;46.00
1895;85.81;51.41
1896;56.69;46.43
1897;16.59;33.68
1898;6.16;18.01
1899;2.30;8.86
1900;12.82;7.13
1901;4.72;9.47
1902;4.73;14.86
1903;37.22;31.47
1904;69.72;60.57
1905;57.78;63.51
1906;28.68;54.70
1907;23.37;6.30
1908;21.54;3.41
1909;26.34;5.44
1910;53.10;11.65
1911;68.48;20.35
1912;75.58;32.88
1913;57.92;39.55
1914;40.97;43.36
1915;24.95;40.83
1916;12.59;30.36
1917;4.97;17.18
1918;4.50;6.82
1919;11.21;3.19
1920;56.60;3.52
1921;69.63;9.94
1922;77.74;20.30
1923;80.53;31.99
1924;73.38;42.36
1925;36.93;49.08
1926;4.64;53.99
